Player,game_url,Nigel_score,player2_score,Nigel_loss,Player 2
h,https://www.cross-tables.com/annotated.php?u=30304,365,479,114,Conrad Bassett-Bouchard
h,https://www.cross-tables.com/annotated.php?u=30302,414,460,46,Dave Wiegand
h,https://www.cross-tables.com/annotated.php?u=30287,384,393,9,Evans Clinchy
h,https://www.cross-tables.com/annotated.php?u=30270,401,405,4,Jesse Day
h,https://www.cross-tables.com/annotated.php?u=30214,279,511,232,Olatunde Oduwole
h,https://www.cross-tables.com/annotated.php?u=27176,421,459,38,Wellington Jighere
h,https://www.cross-tables.com/annotated.php?u=27161,390,393,3,Wellington Jighere
h,https://www.cross-tables.com/annotated.php?u=26927,452,470,18,David Eldar
h,https://www.cross-tables.com/annotated.php?u=25296,440,450,10,Mark Nyman
h,https://www.cross-tables.com/annotated.php?u=25058,406,457,51,David Eldar
h,https://www.cross-tables.com/annotated.php?u=25054,438,493,55,David Eldar
h,https://www.cross-tables.com/annotated.php?u=25049,405,569,164,David Eldar
h,https://www.cross-tables.com/annotated.php?u=25043,423,453,30,Jesse Day
h,https://www.cross-tables.com/annotated.php?u=25042,398,437,39,Mark Nyman
h,https://www.cross-tables.com/annotated.php?u=25041,421,478,57,Mark Nyman
h,https://www.cross-tables.com/annotated.php?u=25039,363,493,130,Mark Nyman
h,https://www.cross-tables.com/annotated.php?u=25027,460,513,53,Mark Nyman
h,https://www.cross-tables.com/annotated.php?u=25023,415,544,129,Jesse Day
h,https://www.cross-tables.com/annotated.php?u=25018,445,481,36,Jesse Day
h,https://www.cross-tables.com/annotated.php?u=25009,410,526,116,Jesse Day
h,https://www.cross-tables.com/annotated.php?u=24510,374,434,60,Winter
h,https://www.cross-tables.com/annotated.php?u=23794,397,491,94,Pichai Limprasert
h,https://www.cross-tables.com/annotated.php?u=21106,402,409,7,Winter
h,https://www.cross-tables.com/annotated.php?u=20550,374,411,37,Femi Awowade
h,https://www.cross-tables.com/annotated.php?u=20357,385,495,110,Sherwin Rodrigues
h,https://www.cross-tables.com/annotated.php?u=19701,367,446,79,Conrad Bassett-Bouchard
h,https://www.cross-tables.com/annotated.php?u=18189,369,401,32,Zhi Yuan Wong
h,https://www.cross-tables.com/annotated.php?u=18183,351,469,118,Shim Yen Nee
h,https://www.cross-tables.com/annotated.php?u=18165,381,407,26,Ricky Purnomo
h,https://www.cross-tables.com/annotated.php?u=17178,393,488,95,Komol Panyasophonlert
h,https://www.cross-tables.com/annotated.php?u=15925,363,489,126,Jason Katz-Brown
h,https://www.cross-tables.com/annotated.php?u=15924,349,426,77,Olatunde Oduwole
h,https://www.cross-tables.com/annotated.php?u=15923,468,473,5,Komol Panyasophonlert
h,https://www.cross-tables.com/annotated.php?u=15920,366,496,130,Tuoyo Mayuku
h,https://www.cross-tables.com/annotated.php?u=15901,367,492,125,Sammy Okosagah
h,https://www.cross-tables.com/annotated.php?u=15259,379,469,90,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=15256,416,452,36,Cameron Farlow
h,https://www.cross-tables.com/annotated.php?u=14897,408,480,72,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=14893,364,474,110,Thacha Koowirat
h,https://www.cross-tables.com/annotated.php?u=14886,431,475,44,Marlon Prudencio
h,https://www.cross-tables.com/annotated.php?u=14878,368,372,4,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=13152,399,528,129,Thacha Koowirat
h,https://www.cross-tables.com/annotated.php?u=13146,398,502,104,Pakorn Nemitrmansuk
h,https://www.cross-tables.com/annotated.php?u=13132,240,285,45,Pakorn Nemitrmansuk
h,https://www.cross-tables.com/annotated.php?u=13113,440,443,3,Gerald Carter
h,https://www.cross-tables.com/annotated.php?u=13111,418,515,97,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=13100,415,482,67,Pakorn Nemitrmansuk
h,https://www.cross-tables.com/annotated.php?u=11552,290,579,289,Alastair Richards
h,https://www.cross-tables.com/annotated.php?u=11550,370,475,105,Weibin Toh
h,https://www.cross-tables.com/annotated.php?u=10441,241,318,77,Mark Nyman
h,https://www.cross-tables.com/annotated.php?u=9911,390,431,41,Marut Siriwangso
h,https://www.cross-tables.com/annotated.php?u=9907,383,391,8,Jakkrit Klaphajone
h,https://www.cross-tables.com/annotated.php?u=9900,516,521,5,Pakorn Nemitrmansuk
h,https://www.cross-tables.com/annotated.php?u=9899,341,500,159,Pakorn Nemitrmansuk
h,https://www.cross-tables.com/annotated.php?u=9878,392,405,13,Thacha Koowirat
h,https://www.cross-tables.com/annotated.php?u=9861,403,442,39,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=9859,399,435,36,Siu Hean Cheah
h,https://www.cross-tables.com/annotated.php?u=9855,404,483,79,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=9851,409,411,2,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=9845,384,405,21,Pakorn Nemitrmansuk
h,https://www.cross-tables.com/annotated.php?u=9842,383,486,103,Jakkrit Klaphajone
h,https://www.cross-tables.com/annotated.php?u=9839,451,454,3,Jakkrit Klaphajone
h,https://www.cross-tables.com/annotated.php?u=9831,378,538,160,Jakkrit Klaphajone
h,https://www.cross-tables.com/annotated.php?u=9822,390,551,161,Hubert Wee
h,https://www.cross-tables.com/annotated.php?u=9821,423,466,43,Akkarapol Khwansak
h,https://www.cross-tables.com/annotated.php?u=7964,449,473,24,Saidu Ayorinde Adebanjo
h,https://www.cross-tables.com/annotated.php?u=7963,406,463,57,Trevor Halsall
h,https://www.cross-tables.com/annotated.php?u=5695,438,467,29,Weibin Toh
h,https://www.cross-tables.com/annotated.php?u=2936,405,435,30,Pakorn Nemitrmansuk
h,https://www.cross-tables.com/annotated.php?u=2918,421,470,49,Pakorn Nemitrmansuk
